age,income,loan_amount,loan_term_months,credit_score,num_credit_cards,default
59,36727,15399,15,494,1,0
49,54304,16739,22,527,5,1
35,52477,10957,42,730,2,0
63,58534,13423,54,735,2,0
28,36877,12866,43,760,3,1
41,43994,12290,38,320,5,0
59,57640,18164,41,363,5,1
39,68709,12752,54,464,2,1
43,64488,20087,13,326,5,0
31,51230,28315,20,610,2,0
31,42689,13522,39,584,5,1
44,56057,15761,42,580,1,1
56,33629,16897,45,463,2,0
60,37744,24057,26,523,2,1
44,72646,14586,59,445,4,0
23,56030,10854,36,329,5,0
42,44787,8668,47,344,5,1
22,62437,14710,19,770,2,0
44,69304,12758,20,333,1,1
64,43330,25050,48,726,1,0
50,43588,23849,59,520,1,0
58,41710,9828,56,833,5,0
22,64457,11446,50,666,4,0
41,64603,15368,43,849,2,0
53,70788,21986,28,415,3,0
32,65129,15285,46,538,4,0
42,25516,11763,48,634,3,0
64,54214,14705,30,740,4,0
45,34124,11857,55,447,1,1
47,42306,18012,40,308,5,0
62,52558,11454,18,587,3,0
48,62533,12447,39,687,4,0
36,36637,20809,20,349,5,0
35,15129,11158,39,816,3,0
64,52707,7769,17,577,2,0
23,89653,15474,40,599,4,0
57,46957,13197,28,434,2,0
27,50703,17557,27,446,1,1
41,76732,16587,34,789,2,0
29,58854,14840,42,777,2,0
59,53252,14694,14,458,4,0
38,56631,11320,32,683,1,0
24,53753,15416,37,462,2,0
45,32903,19406,47,740,5,0
34,29878,10132,53,488,3,0
29,78302,14973,48,714,2,0
46,52758,20191,33,638,1,0
22,51501,17527,53,480,2,0
40,48646,21547,23,587,3,0
48,61716,12159,53,486,1,0
27,88080,5846,24,437,4,0
64,57859,16003,22,429,1,0
28,41178,16812,27,493,4,0
55,47998,21842,19,615,1,0
34,66064,20940,51,443,3,0
37,41257,17683,51,315,3,0
56,62783,18826,56,601,1,0
60,15188,14040,13,722,2,0
24,46551,8904,41,544,3,0
22,59422,15588,41,406,4,0
26,69051,19912,23,387,4,0
62,37722,18281,21,428,5,1
24,27458,19169,55,640,4,0
49,46088,12861,22,303,5,0
38,33118,13672,26,626,1,1
46,47764,17417,27,709,1,1
64,49900,12267,28,605,1,0
54,30212,12421,37,524,2,0
30,62066,16489,13,647,2,0
56,47641,18804,23,620,5,0
34,66206,14002,37,480,4,0
51,22326,9184,34,685,4,0
35,34742,11320,29,407,1,0
28,57750,16018,43,830,3,1
34,38013,15957,49,709,2,1
43,47531,16206,58,595,2,0
60,50010,17606,14,470,1,0
41,52373,15029,49,630,2,0
36,39836,16325,14,792,1,1
38,52239,14774,41,494,5,0
44,38261,20743,12,311,4,0
46,60114,22161,41,494,3,0
45,48277,9054,56,789,4,0
61,52325,13723,43,481,4,0
49,88548,15163,39,615,5,0
35,33393,13665,32,329,2,0
21,70828,23964,57,395,3,0
45,10109,16119,24,680,2,0
27,18824,10973,38,743,4,0
29,31390,17982,47,597,1,1
44,32337,16354,18,660,4,1
21,53055,16520,33,673,2,1
64,54347,24039,21,602,4,1
28,46177,16753,50,720,1,0
44,47751,13481,26,545,5,0
31,57916,5223,26,536,2,0
37,62498,14173,15,833,4,1
28,30101,21529,43,484,2,0
55,44571,14544,34,767,5,0
